,date,size,edges,avgdeg,diameter,clustering,connectivity,anger,disgust,fear,joy,sadness,surprise,volume,daychange
59,2021-03-30,254,209,-0.13167090879598786,14,0.0,0,0.08725016409348656,0.0018821634059003798,0.16577364003716488,0.22557264602183907,0.18190573368275845,0.11587002398314167,17569600,0.2599999999999998
60,2021-03-31,205,163,-0.13181053604120266,11,0.0,0,0.044089562795260655,0.003786970836350708,0.16503008578246467,0.22787085921658753,0.12254527523696697,0.13419344007345976,32865200,-0.17999999999999972
61,2021-04-01,129,98,-0.12515054945407952,8,0.0,0,0.05431266423416669,0.0018320013836666657,0.17734687762916668,0.25408672563749995,0.08102956715833337,0.13032840265000006,14709900,0.009999999999999787
62,2021-04-05,115,91,-0.26996955722839056,6,0.0,0,0.0666860923958334,0.0015621985302777788,0.22129281909180556,0.29585045351597195,0.10607471637569443,0.09689267131875003,18460000,0.5500000000000007
63,2021-04-06,125,107,-0.15185460234049286,8,0.0,0,0.0579636084832,0.00230179599536,0.1818806479656,0.2180713506527999,0.0714767432528001,0.10568661597120001,9807300,-0.14000000000000057
64,2021-04-07,176,151,-0.2930022728054579,10,0.0,0,0.05818889805449436,0.005051392509101126,0.17153795328426955,0.1737357255460673,0.0649762388466292,0.13037332853707861,16106100,-0.5399999999999991
65,2021-04-08,114,94,-0.277125570331279,8,0.0,0,0.08405978916573428,0.0036466976181118885,0.17588999279230755,0.328798254923077,0.08105922323146854,0.11777570819790198,11406800,0.4499999999999993
66,2021-04-09,119,102,-0.27728534161513485,10,0.0,0,0.11228112549778754,0.004329240881327433,0.14335530135353977,0.35789958971017694,0.10848467049070791,0.08931800498141589,6685200,-0.1899999999999995
67,2021-04-12,172,144,-0.2598524446722595,5,0.0,0,0.14552595679999983,0.0010711345313653134,0.17751164270516595,0.27668409870885563,0.06684313944797035,0.07571238973690035,6501800,-0.0600000000000005
68,2021-04-13,145,136,-0.3425765425771365,7,0.0,0,0.15536960796363633,0.0014802541703030291,0.19353673083333323,0.20304088752323254,0.10626971551666668,0.09554338886515151,6896000,0.02999999999999936
69,2021-04-14,115,103,-0.22647654946222703,6,0.0,0,0.15955298998375006,0.0015671345589999997,0.20522625139062503,0.26052550804875013,0.08868499013500007,0.09222205424249998,7711600,-0.05000000000000071
70,2021-04-15,62,52,-0.382420821395938,2,0.0,0,0.11160991164696976,0.0019390785096969696,0.10583409168333327,0.3054919735454542,0.0793416319727272,0.13832219366969684,8438200,-0.33000000000000007
